IMEI,IP,MgmtPort,PortSSH,DeviceType,TLSEnable,Reptime,LoginName,LoginPass,EquipmentGroup,StatInCall,Comments
101000000000001,127.10.0.1,6000,22,1,0,10,root,admin,Group-1,0,
101000000000002,127.10.0.2,6000,22,1,0,10,root,admin,Group-1,0,
101000000000003,127.10.0.3,6000,22,1,0,10,root,admin,Group-1,0,
101000000000004,127.10.0.4,6000,22,1,0,10,root,admin,Group-1,0,
101000000000005,127.10.0.5,6000,22,1,0,10,root,admin,Group-1,0,
101000000000006,127.10.0.6,6000,22,1,0,10,root,admin,Group-1,0,
101000000000007,127.10.0.7,6000,22,1,0,10,root,admin,Group-1,0,
101000000000008,127.10.0.8,6000,22,1,0,10,root,admin,Group-1,0,
101000000000009,127.10.0.9,6000,22,2,0,10,root,admin,Group-1,0,
101000000000010,127.10.0.10,6000,22,2,0,10,root,admin,Group-1,0,
